config,alpha,epsilon,gamma,f_500,f_1000,f_2000,f_4000,f_8000
0,0.2098302729986613,0.21943921987602616,0.9858597919911383,38.166666666666664,43.22,40.626666666666665,61.806666666666665,44.21333333333334
1,0.12362436879527078,0.047088673943824766,0.9975622351636756,11.44,20.74,27.320000000000004,49.54,54.13999999999999
2,0.1920521201812556,0.3930321526384769,0.9128113632675546,46.23333333333333,61.806666666666665,54.13999999999999,53.77333333333333,46.36666666666667
3,0.022446974525094095,0.18539901211629062,0.9926764988848602,23.05333333333333,23.05333333333333,32.08,43.54,60.67333333333334
4,0.08542704033115321,0.411380806635415,0.9443414198827331,47.28,58.99333333333333,54.13999999999999,61.806666666666665,61.39333333333334
5,0.004805251969157461,0.2772923935079174,0.9063817256104175,39.14666666666667,39.14666666666667,39.14666666666667,39.14666666666667,50.60666666666666
6,0.30401395269679965,0.3158321995610324,0.9758087740085374,37.16,59.406666666666666,38.82,33.913333333333334,54.06666666666666
7,0.011576516747459546,0.48534901219745163,0.9893121121322198,57.68000000000001,57.68000000000001,59.61333333333334,61.026666666666664,61.806666666666665
8,0.21634680763066202,0.09731935392598379,0.9466721003727034,36.673333333333325,50.346666666666664,61.51333333333333,54.13999999999999,46.48666666666667
9,0.001353353646221312,0.07714474603377391,0.9683048953242455,12.966666666666667,12.966666666666667,12.966666666666667,12.966666666666667,12.966666666666667
10,0.17150882346504795,0.483754866217105,0.9325825358138152,54.06666666666666,61.806666666666665,53.98,61.099999999999994,52.60666666666666
11,0.012923469377951077,0.23477790563790396,0.9189471359084286,39.15333333333333,39.15333333333333,39.15333333333333,50.61333333333332,59.09333333333333
12,0.002453378279453834,0.23785246311296687,0.9226909349050885,34.8,37.85999999999999,37.85999999999999,37.85999999999999,37.85999999999999
13,0.1021979028708349,0.21857595943616537,0.9832678196057838,37.27333333333333,46.16,61.32,61.73333333333333,60.17333333333334
14,0.1261232943436022,0.15618332069102053,0.9832259801395201,36.599999999999994,44.406666666666666,53.72666666666667,53.72666666666667,54.13999999999999
15,0.25959305683261835,0.19373918951508723,0.9288328103930245,51.56,61.51333333333333,53.57333333333333,37.160000000000004,54.13999999999999
16,0.11155435048867032,0.0698762418046549,0.9199908202475109,9.906666666666666,19.206666666666667,27.726666666666663,52.22666666666666,53.98
17,0.0010521721669668506,0.3934621887510692,0.9664850856592032,16.41333333333333,17.12,31.34,31.34,31.34
18,0.1304656360450818,0.39036451551098394,0.945891577553834,61.026666666666664,61.32,53.72666666666667,61.806666666666665,60.57333333333333
19,0.05084211256775241,0.06989849906382872,0.9114530073535974,9.906666666666666,9.906666666666666,19.206666666666667,27.726666666666663,51.166666666666664
20,0.10120661170730876,0.23554810307156626,0.9565236106481189,35.86,51.873333333333335,53.49333333333333,61.73333333333333,61.806666666666665
21,0.19724071684541353,0.3173591600002954,0.9553579400657995,61.39333333333334,53.82666666666666,46.48666666666667,38.82,46.48666666666667
22,0.047601592505885984,0.1519750490313061,0.9030817834567939,30.713333333333328,30.713333333333328,51.166666666666664,61.026666666666664,61.39333333333334
23,0.020424534522558234,0.1072923364097646,0.9408528643724636,12.966666666666667,12.966666666666667,12.966666666666667,22.26666666666667,36.673333333333325
24,0.3632530084552648,0.11696974293267037,0.9058302741689066,35.50666666666667,52.74666666666666,46.48666666666667,54.13999999999999,43.193333333333335
25,0.006984763022713535,0.1467968788833418,0.9661916514726895,33.79333333333334,33.79333333333334,33.79333333333334,33.79333333333334,46.22
26,0.046891751739810104,0.39194910455320675,0.9664313540327387,43.46,58.03333333333333,61.32,61.73333333333333,61.806666666666665
